Date,Price,Open,High,Low,Vol.,Change %
3-Jan-20,1588.30,1591.00,1592.10,1588.60,0.41K,1.55%
2-Jan-20,1564.00,1548.70,1559.50,1548.20,1.25K,2.83%
1-Jan-20,1520.95,1520.85,1523.95,1520.85,-,-2.47%
31-Dec-19,1559.50,1546.70,1555.00,1546.40,0.67K,0.33%
30-Dec-19,1554.30,1543.90,1545.50,1540.10,0.46K,0.07%
27-Dec-19,1553.20,1540.70,1545.00,1540.00,0.29K,0.26%
26-Dec-19,1549.10,1544.20,1544.20,1544.20,0.00K,3.00%
25-Dec-19,1504.05,1504.40,1504.40,1502.15,-,-2.29%
24-Dec-19,1539.30,1518.60,1530.10,1518.60,0.45K,1.06%
23-Dec-19,1523.20,1510.70,1514.90,1510.70,0.39K,0.53%
20-Dec-19,1515.10,1515.80,1515.80,1515.80,0.00K,-0.23%
19-Dec-19,1518.60,1505.40,1510.40,1503.50,0.57K,0.37%
18-Dec-19,1513.00,1506.40,1508.50,1501.70,1.56K,-0.16%
17-Dec-19,1515.50,1505.80,1510.00,1505.00,0.21K,0.01%
16-Dec-19,1515.30,1505.40,1509.40,1503.90,0.42K,0.01%
13-Dec-19,1515.20,1493.00,1507.90,1493.00,0.47K,0.62%
12-Dec-19,1505.80,1511.20,1514.00,1494.10,0.17K,-0.17%
11-Dec-19,1508.30,1500.00,1507.00,1497.50,0.14K,0.46%
10-Dec-19,1501.40,1490.60,1496.00,1489.70,0.14K,0.22%
9-Dec-19,1498.10,1493.20,1493.20,1489.40,0.30K,0.04%
6-Dec-19,1497.50,1509.60,1509.60,1497.20,0.01K,-1.16%
5-Dec-19,1515.00,1513.80,1513.80,1513.80,0.00K,0.20%
4-Dec-19,1512.00,1515.90,1515.90,1515.90,0.00K,-0.27%
3-Dec-19,1516.10,1491.10,1510.30,1491.10,0.45K,1.03%
2-Dec-19,1500.60,1494.00,1495.30,1485.00,0.17K,-0.23%
29-Nov-19,1504.00,1488.00,1495.40,1484.20,0.19K,2.86%
28-Nov-19,1462.25,1463.25,1464.55,1460.75,-,-1.98%
27-Nov-19,1491.80,1489.20,1490.20,1483.90,0.22K,-0.42%
26-Nov-19,1498.10,1484.30,1492.00,1481.00,0.31K,0.19%
25-Nov-19,1495.20,1490.90,1492.00,1485.20,0.94K,-0.41%
22-Nov-19,1501.40,1497.70,1502.30,1492.00,0.70K,0.03%
21-Nov-19,1501.00,1505.50,1505.70,1494.00,0.49K,-0.69%
20-Nov-19,1511.50,1505.50,1509.20,1498.00,0.69K,-0.03%
19-Nov-19,1512.00,1511.50,1511.50,1511.50,0.00K,0.15%
18-Nov-19,1509.70,1498.40,1502.80,1488.80,0.82K,0.22%
15-Nov-19,1506.40,1496.30,1499.90,1495.90,0.07K,-0.32%
14-Nov-19,1511.30,1495.10,1504.70,1494.80,0.84K,0.67%
13-Nov-19,1501.30,1489.90,1498.10,1489.90,0.74K,0.66%
12-Nov-19,1491.40,1487.80,1488.50,1480.00,0.93K,-0.25%
11-Nov-19,1495.10,1494.00,1494.00,1480.10,0.73K,-0.54%
8-Nov-19,1503.20,1500.50,1503.00,1488.80,0.35K,-0.09%
7-Nov-19,1504.60,1510.00,1510.00,1510.00,0.00K,-1.71%
6-Nov-19,1530.80,1516.70,1525.40,1516.10,0.69K,0.62%
5-Nov-19,1521.40,1522.80,1522.80,1522.80,0.00K,-1.75%
4-Nov-19,1548.50,1544.80,1544.80,1541.00,0.83K,0.02%
1-Nov-19,1548.20,1542.10,1545.00,1538.00,0.20K,-0.17%
31-Oct-19,1550.90,1527.00,1545.00,1527.00,0.17K,1.14%
30-Oct-19,1533.40,1520.80,1526.50,1513.20,1.90K,0.39%
29-Oct-19,1527.50,1524.20,1524.20,1515.50,0.22K,-0.34%
28-Oct-19,1532.70,1535.70,1536.20,1523.50,0.16K,-0.60%
25-Oct-19,1542.00,1537.50,1549.90,1535.00,0.07K,0.08%
24-Oct-19,1540.80,1524.30,1534.70,1522.00,0.28K,0.59%
23-Oct-19,1531.80,1522.00,1526.10,1522.00,0.03K,0.54%
22-Oct-19,1523.50,1517.30,1519.00,1515.00,0.01K,-0.05%
21-Oct-19,1524.20,1524.90,1524.90,1515.00,0.11K,-0.37%
18-Oct-19,1529.90,1526.10,1526.10,1519.50,0.16K,-0.31%
17-Oct-19,1534.70,1519.90,1527.60,1519.90,0.21K,0.29%
16-Oct-19,1530.30,1515.50,1522.20,1510.00,0.20K,0.68%
15-Oct-19,1520.00,1522.90,1524.50,1513.00,0.23K,-0.91%
14-Oct-19,1534.00,1529.00,1530.00,1524.40,0.03K,0.61%
11-Oct-19,1524.70,1533.70,1534.60,1508.00,1.04K,-0.77%
10-Oct-19,1536.60,1548.00,1548.00,1526.00,0.13K,-0.74%
9-Oct-19,1548.00,1539.70,1543.00,1535.00,0.43K,0.60%
8-Oct-19,1538.80,1524.20,1540.00,1522.60,0.43K,-0.04%
7-Oct-19,1539.40,1538.90,1538.90,1522.20,0.16K,-0.53%
4-Oct-19,1547.60,1541.30,1541.30,1530.20,0.07K,-0.04%
3-Oct-19,1548.20,1536.80,1551.80,1535.20,0.00K,0.27%
2-Oct-19,1544.10,1512.80,1536.30,1509.90,0.00K,1.23%
1-Oct-19,1525.30,1502.60,1520.00,1499.00,0.00K,1.04%
30-Sep-19,1509.60,1533.00,1533.00,1500.10,0.51K,-2.19%
27-Sep-19,1543.40,1538.30,1538.30,1525.70,0.17K,-0.57%
26-Sep-19,1552.30,1538.90,1547.00,1538.00,0.25K,0.19%
25-Sep-19,1549.30,1572.00,1572.00,1539.10,0.25K,-1.78%
24-Sep-19,1577.40,1560.10,1573.00,1554.90,0.51K,0.54%
23-Sep-19,1568.90,1556.60,1562.50,1556.60,0.02K,1.05%
20-Sep-19,1552.60,1537.80,1553.50,1537.80,0.10K,0.61%
19-Sep-19,1543.20,1528.80,1540.40,1528.80,0.16K,-0.62%
18-Sep-19,1552.90,1538.90,1549.00,1530.40,0.50K,0.13%
17-Sep-19,1550.90,1538.80,1542.30,1538.80,0.01K,0.12%
16-Sep-19,1549.10,1542.60,1546.50,1536.40,0.69K,0.77%
13-Sep-19,1537.30,1543.40,1543.40,1525.60,0.18K,-0.44%
12-Sep-19,1544.10,1530.40,1558.60,1530.40,0.41K,0.38%
11-Sep-19,1538.30,1528.80,1534.40,1528.80,0.04K,0.28%
10-Sep-19,1534.00,1531.90,1532.60,1524.90,0.16K,-0.74%
9-Sep-19,1545.50,1540.10,1546.60,1534.10,0.24K,-0.24%
